,match,match,score,taxa_vinculacao
,count,sum,mean,
mun6,,,,
355030,1206069,188052,1.951,15.59
330455,850981,104640,1.953,12.3
351880,20770,3894,1.988,18.75
310620,26250,2819,1.968,10.74
330100,14889,2419,2.013,16.25
530010,18288,1951,1.954,10.67
350950,10614,1784,1.981,16.81
330490,13847,1562,2.007,11.28
354980,7556,1383,2.034,18.3
330350,8627,1161,2.015,13.46
330170,6927,1035,1.982,14.94
354780,5251,1000,2.016,19.04
353440,5433,985,2.03,18.13
355220,5108,865,2.009,16.93
317020,4894,702,2.023,14.34
354870,2944,526,1.978,17.87
313670,3178,508,2.009,15.98
354990,3996,479,2.021,11.99
351380,2455,479,2.067,19.51
352530,1501,409,2.188,27.25
